vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","052","999","0137",4,9993,4.05999994e+00
"02","052","999","0138",3,61227,2.48600006e+01
"02","053","999","0131",1,63822,3.73199997e+01
"02","053","999","0132",5,4469,2.60999990e+00
"02","053","999","0133",6,1431,8.39999974e-01
"02","053","999","0135",2,51100,2.98799992e+01
"02","053","999","0137",4,6563,3.83999991e+00
"02","053","999","0138",3,43636,2.55100002e+01
"02","054","999","0131",2,3951,3.45699997e+01
"02","054","999","0132",4,193,1.69000006e+00
"02","054","999","0133",5,182,1.59000003e+00
"02","054","999","0135",1,4489,3.92700005e+01
"02","054","999","0137",6,154,1.35000002e+00
"02","054","999","0138",3,2461,2.15300007e+01
"02","055","999","0131",3,3362,1.78600006e+01
"02","055","999","0132",5,297,1.58000004e+00
"02","055","999","0133",4,333,1.76999998e+00
"02","055","999","0135",1,7619,4.04599991e+01
"02","055","999","0137",6,271,1.44000006e+00
"02","055","999","0138",2,6947,3.69000015e+01
"02","056","999","0131",1,3507,4.25499992e+01
"02","056","999","0132",4,195,2.36999989e+00
"02","056","999","0133",6,68,8.29999983e-01
"02","056","999","0135",2,2660,3.22700005e+01
"02","056","999","0137",5,150,1.82000005e+00
"02","056","999","0138",3,1662,2.01700001e+01
"02","057","999","0131",2,2988,4.10000000e+01
"02","057","999","0132",4,108,1.48000002e+00
"02","057","999","0133",6,44,6.00000024e-01
"02","057","999","0135",1,3080,4.22700005e+01
"02","057","999","0137",5,78,1.07000005e+00
"02","057","999","0138",3,989,1.35699997e+01
"02","058","999","0131",2,2112,3.76199989e+01
"02","058","999","0132",5,61,1.09000003e+00
"02","058","999","0133",6,47,8.39999974e-01
"02","058","999","0135",1,2457,4.37700005e+01
"02","058","999","0137",4,73,1.29999995e+00
"02","058","999","0138",3,864,1.53900003e+01
"02","059","999","0131",1,4931,3.78499985e+01
"02","059","999","0132",4,379,2.91000009e+00
"02","059","999","0133",6,83,6.39999986e-01
"02","059","999","0135",2,4346,3.33600006e+01
"02","059","999","0137",5,342,2.63000011e+00
"02","059","999","0138",3,2946,2.26100006e+01
"02","060","999","0131",2,17186,2.89300003e+01
"02","060","999","0132",4,1702,2.86999989e+00
"02","060","999","0133",6,1377,2.31999993e+00
"02","060","999","0135",1,22999,3.87200012e+01
"02","060","999","0137",5,1415,2.38000011e+00
"02","060","999","0138",3,14717,2.47800007e+01
"02","061","999","0131",1,355043,4.81899986e+01
"02","061","999","0132",5,17858,2.42000008e+00
"02","061","999","0133",6,7138,9.70000029e-01
"02","061","999","0135",2,170371,2.31200008e+01
"02","061","999","0137",4,30099,4.07999992e+00
"02","061","999","0138",3,156319,2.12199993e+01
"02","062","999","0131",1,107297,3.72099991e+01
"02","062","999","0132",5,8634,2.99000001e+00
"02","062","999","0133",6,2093,7.30000019e-01
"02","062","999","0135",2,96588,3.35000000e+01
"02","062","999","0137",4,11979,4.15000010e+00
"02","062","999","0138",3,61727,2.14099998e+01
"02","063","999","0131",2,119144,2.98899994e+01
"02","063","999","0132",5,18494,4.63999987e+00
"02","063","999","0133",6,3616,9.10000026e-01
"02","063","999","0135",1,163852,4.11100006e+01
"02","063","999","0137",4,22939,5.75000000e+00
"02","063","999","0138",3,70553,1.77000008e+01
"02","064","999","0131",1,3272,4.45000000e+01
"02","064","999","0132",4,145,1.97000003e+00
"02","064","999","0133",6,44,6.00000024e-01
"02","064","999","0135",2,3026,4.11599998e+01
"02","064","999","0137",5,109,1.48000002e+00
"02","064","999","0138",3,756,1.02799997e+01
"02","065","999","0131",2,5309,3.36699982e+01
"02","065","999","0132",4,686,4.34999990e+00
"02","065","999","0133",6,146,9.30000007e-01
"02","065","999","0135",1,6356,4.03100014e+01
"02","065","999","0137",5,361,2.28999996e+00
"02","065","999","0138",3,2911,1.84599991e+01
"02","066","999","0131",1,4314,3.69300003e+01
"02","066","999","0132",6,207,1.76999998e+00
"02","066","999","0133",4,246,2.10999990e+00
"02","066","999","0135",2,4310,3.69000015e+01
"02","066","999","0137",5,230,1.97000003e+00
"02","066","999","0138",3,2374,2.03199997e+01
"02","067","999","0131",2,9962,3.41300011e+01
"02","067","999","0132",4,551,1.88999999e+00
"02","067","999","0133",6,320,1.10000002e+00
"02","067","999","0135",1,13023,4.46199989e+01
"02","067","999","0137",5,471,1.61000001e+00
"02","067","999","0138",3,4862,1.66599998e+01
"02","068","999","0131",2,3892,3.41199989e+01
"02","068","999","0132",5,164,1.44000006e+00
"02","068","999","0133",6,66,5.79999983e-01
"02","068","999","0135",1,5395,4.72999992e+01
"02","068","999","0137",4,179,1.57000005e+00
"02","068","999","0138",3,1711,1.50000000e+01
"02","069","999","0131",2,7296,3.11200008e+01
"02","069","999","0132",5,514,2.19000006e+00
"02","069","999","0133",6,257,1.10000002e+00
"02","069","999","0135",1,10519,4.48699989e+01
