sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"02","104","999","0131","0131",1324,2.54799995e+01
"02","104","999","0132","0132",53,1.01999998e+00
"02","104","999","0137","0137",46,8.89999986e-01
"02","104","999","0138","0138",509,9.80000019e+00
"02","104","999","0145","0145",3264,6.28199997e+01
"02","105","999","0131","0131",25291,2.71000004e+01
"02","105","999","0132","0132",1821,1.95000005e+00
"02","105","999","0137","0137",3154,3.38000011e+00
"02","105","999","0138","0138",30072,3.22200012e+01
"02","105","999","0145","0145",32989,3.53499985e+01
"02","106","999","0131","0131",39014,1.87999992e+01
"02","106","999","0132","0132",5762,2.77999997e+00
"02","106","999","0137","0137",6895,3.31999993e+00
"02","106","999","0138","0138",29968,1.44399996e+01
"02","106","999","0145","0145",125916,6.06699982e+01
"02","107","999","0131","0131",30696,3.45699997e+01
"02","107","999","0132","0132",2136,2.41000009e+00
"02","107","999","0137","0137",2994,3.36999989e+00
"02","107","999","0138","0138",19704,2.21900005e+01
"02","107","999","0145","0145",33251,3.74500008e+01
"02","108","999","0131","0131",8808,2.61000004e+01
"02","108","999","0132","0132",754,2.23000002e+00
"02","108","999","0137","0137",710,2.09999990e+00
"02","108","999","0138","0138",5360,1.58900003e+01
"02","108","999","0145","0145",18110,5.36699982e+01
"02","109","999","0131","0131",12239,3.44599991e+01
"02","109","999","0132","0132",442,1.24000001e+00
"02","109","999","0137","0137",910,2.55999994e+00
"02","109","999","0138","0138",8369,2.35599995e+01
"02","109","999","0145","0145",13560,3.81800003e+01
"02","110","999","0131","0131",2752,3.81100006e+01
"02","110","999","0132","0132",44,6.10000014e-01
"02","110","999","0137","0137",102,1.40999997e+00
"02","110","999","0138","0138",714,9.89000034e+00
"02","110","999","0145","0145",3610,4.99900017e+01
"02","111","999","0131","0131",20175,2.73400002e+01
"02","111","999","0132","0132",1901,2.57999992e+00
