sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0073","X","0701","3113",5,4
"20","001","003","0003 ","0073","X","0701","3139",6,6
"20","001","003","0003 ","0073","X","0702","3013",1,4
"20","001","003","0003 ","0073","X","0702","3052",2,8
"20","001","003","0003 ","0073","X","0702","3116",3,38
"20","001","003","0003 ","0073","X","0702","3119",4,18
"20","001","003","0003 ","0073","X","0702","3125",5,4
"20","001","003","0003 ","0073","X","0702","3136",6,7
"20","001","003","0003 ","0074","X","0701","3015",1,10
"20","001","003","0003 ","0074","X","0701","3016",2,40
"20","001","003","0003 ","0074","X","0701","3036",3,15
"20","001","003","0003 ","0074","X","0701","3100",4,8
"20","001","003","0003 ","0074","X","0701","3113",5,7
"20","001","003","0003 ","0074","X","0701","3139",6,2
"20","001","003","0003 ","0074","X","0702","3013",1,6
"20","001","003","0003 ","0074","X","0702","3052",2,4
"20","001","003","0003 ","0074","X","0702","3116",3,37
"20","001","003","0003 ","0074","X","0702","3119",4,24
"20","001","003","0003 ","0074","X","0702","3125",5,0
"20","001","003","0003 ","0074","X","0702","3136",6,9
"20","001","003","0003 ","0075","X","0701","3015",1,3
"20","001","003","0003 ","0075","X","0701","3016",2,39
"20","001","003","0003 ","0075","X","0701","3036",3,34
"20","001","003","0003 ","0075","X","0701","3100",4,2
"20","001","003","0003 ","0075","X","0701","3113",5,1
"20","001","003","0003 ","0075","X","0701","3139",6,3
"20","001","003","0003 ","0075","X","0702","3013",1,1
"20","001","003","0003 ","0075","X","0702","3052",2,4
"20","001","003","0003 ","0075","X","0702","3116",3,50
"20","001","003","0003 ","0075","X","0702","3119",4,10
"20","001","003","0003 ","0075","X","0702","3125",5,6
"20","001","003","0003 ","0075","X","0702","3136",6,10
"20","001","003","0003 ","0076","X","0701","3015",1,14
"20","001","003","0003 ","0076","X","0701","3016",2,35
"20","001","003","0003 ","0076","X","0701","3036",3,15
"20","001","003","0003 ","0076","X","0701","3100",4,2
"20","001","003","0003 ","0076","X","0701","3113",5,4
"20","001","003","0003 ","0076","X","0701","3139",6,7
"20","001","003","0003 ","0076","X","0702","3013",1,1
"20","001","003","0003 ","0076","X","0702","3052",2,4
"20","001","003","0003 ","0076","X","0702","3116",3,46
"20","001","003","0003 ","0076","X","0702","3119",4,25
"20","001","003","0003 ","0076","X","0702","3125",5,4
"20","001","003","0003 ","0076","X","0702","3136",6,18
"20","001","003","0003 ","0077","X","0701","3015",1,2
