vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","081","999","0137",4,116,1.10000002e+00
"02","081","999","0138",3,1349,1.28400002e+01
"02","081","999","0145",1,4731,4.50099983e+01
"02","082","999","0131",2,13054,2.30100002e+01
"02","082","999","0132",4,1350,2.38000011e+00
"02","082","999","0137",5,1303,2.29999995e+00
"02","082","999","0138",3,10484,1.84799995e+01
"02","082","999","0145",1,30551,5.38400002e+01
"02","083","999","0131",2,8977,2.94200001e+01
"02","083","999","0132",4,741,2.43000007e+00
"02","083","999","0137",5,572,1.87000000e+00
"02","083","999","0138",3,4034,1.32200003e+01
"02","083","999","0145",1,16186,5.30499992e+01
"02","084","999","0131",2,18240,2.69699993e+01
"02","084","999","0132",5,910,1.35000002e+00
"02","084","999","0137",4,2302,3.40000010e+00
"02","084","999","0138",3,15279,2.25900002e+01
"02","084","999","0145",1,30892,4.56800003e+01
"02","085","999","0131",2,8935,3.64900017e+01
"02","085","999","0132",5,351,1.42999995e+00
"02","085","999","0137",4,464,1.88999999e+00
"02","085","999","0138",3,4983,2.03500004e+01
"02","085","999","0145",1,9756,3.98400002e+01
"02","086","999","0131",3,750,1.90499992e+01
"02","086","999","0132",4,42,1.07000005e+00
"02","086","999","0137",5,22,5.60000002e-01
"02","086","999","0138",2,831,2.11100006e+01
"02","086","999","0145",1,2292,5.82200012e+01
"02","087","999","0131",2,17428,2.71599998e+01
"02","087","999","0132",5,1045,1.63000000e+00
"02","087","999","0137",4,1717,2.68000007e+00
"02","087","999","0138",3,10682,1.66399994e+01
"02","087","999","0145",1,33305,5.19000015e+01
"02","088","999","0131",1,908,3.83300018e+01
"02","088","999","0132",4,21,8.89999986e-01
"02","088","999","0137",5,15,6.29999995e-01
"02","088","999","0138",3,611,2.57900009e+01
"02","088","999","0145",2,814,3.43600006e+01
"02","089","999","0131",2,59363,3.69099998e+01
"02","089","999","0132",5,2746,1.71000004e+00
